open,high,low,close,volume,RSI,EMA12,EMA26,MACD,Signal,Histogram,DEMA9,SMA,TSI,%K,%D,Label
106556.39,106633.31,106510.0,106510.01,100.99563,30.787325455644705,106705.28865063467,106796.92135920082,-91.6327085661469,-49.6026212786074,-42.0300872875395,106525.41252297458,106525.43666666666,-68.29540870643804,3.746250558427325,8.333959670373902,1
106510.0,106558.25,106470.49,106470.49,71.52154,29.258774360539448,106669.16578130625,106772.74125851928,-103.57547721303126,-60.39719246549218,-43.17828474753908,106484.07202598281,106512.29666666668,-67.70892704581433,3.2597436388358036,5.486976198102272,1
106470.5,106500.0,106360.86,106378.9,126.81328,26.032907232051315,106624.50950725914,106743.5678319623,-119.0583247031609,-72.12941891302593,-46.928905790134976,106424.09842686875,106453.13333333335,-67.52828893806404,1.2264256856244433,2.7441399609625243,1
106378.89,106497.91,106301.86,106490.42,169.55719,35.375678695543385,106603.8803522962,106724.81614070582,-120.93578840962437,-81.89069281234562,-39.045095597278745,106424.054586361,106446.60333333333,-65.41937277589538,7.900804017610487,4.128991114023578,1
106490.42,106588.29,106335.59,106335.61,82.31654,29.756749076654344,106562.60799040447,106695.98605620909,-133.3780658046162,-92.18816741079974,-41.18989839381646,106370.9495449816,106401.64333333333,-64.27490693307442,9.183396107722551,6.1035419369858275,2
106335.6,106503.32,106317.17,106491.56,81.47624,40.081524591713936,106551.67753034225,106680.84338537879,-129.16585503653914,-99.58370493594762,-29.58215010059152,106391.69073669953,106439.19666666666,-60.648019208776624,15.65750420880191,10.91390144471165,1
106491.55,106619.6,106491.55,106556.07,74.67931,43.763816395630144,106552.35329490498,106671.60091238777,-119.24761748278979,-103.51648744531607,-15.731130037473719,106432.18346993103,106461.08,-56.658311208545385,21.565531204227266,15.468810506917242,1
106556.08,106622.05,106512.08,106605.8,55.95995,46.49366613530004,106560.5758649196,106666.72677072942,-106.15090580981632,-104.04337111821613,-2.1075346916001934,106480.95708040193,106551.14333333333,-52.61789091109479,36.26270809778028,24.49524783693649,0
106605.79,106706.05,106564.43,106574.92,60.97698,45.03187133399235,106562.78265493197,106659.92626919392,-97.14361426194955,-102.66341974696282,5.519805485013265,106506.04910788724,106578.93000000001,-49.499311687022534,47.544946150201895,35.12439515073648,1
106574.92,106574.93,106365.24,106400.0,69.6023,37.78488299568128,106537.73916955781,106640.67247147585,-102.93330191803398,-102.71739618117705,-0.21590573685692505,106461.89164116235,106526.90666666666,-47.95087223990482,41.11706929720415,41.64157451506211,2
106399.99,106494.81,106397.99,106412.48,72.67798,38.544782442199896,106518.46852808737,106623.76932544059,-105.30079735322215,-103.23407641558609,-2.066720937636063,106435.64799681192,106462.46666666667,-46.499275779840346,34.062442718857326,40.90815272208779,1
106412.47,106487.68,106380.0,106421.08,81.03613,39.0968201244948,106503.48567761239,106608.75530133388,-105.2696237214841,-103.6411858767657,-1.6284378447183911,106421.02134455518,106411.18666666666,-45.168520035984706,25.40309675020033,33.52753625542061,1
106421.07,106542.8,106365.0,106469.56,68.90299,42.24629849823453,106498.26634259509,106598.4445382721,-100.17819567701372,-102.94858783681532,2.7703921598016024,106429.11543332864,106434.37333333334,-43.2536519071046,32.58728149831879,30.68427365579215,1
106469.56,106660.68,106440.54,106615.17,659.80571,50.52231433766741,106516.25152065739,106599.68346136306,-83.43194070567552,-99.04525841058737,15.61331770491185,106488.33303281052,106501.93666666666,-39.2387355366675,49.500647385304966,35.830341877941365,1
106615.17,106885.38,106301.04,106427.17,335.689,42.12834757957523,106502.54667132549,106586.90468644728,-84.35801512179023,-96.10780975282795,11.749794631037716,106463.6257751665,106503.96666666667,-37.36672572415399,46.86364972326741,42.98385953563039,1
106427.18,106860.68,106405.63,106807.42,177.03796,57.50645859679928,106549.45026035234,106603.23915411785,-53.788893765507964,-87.64402655536395,33.855132789855986,106583.24489926765,106616.58666666667,-30.02457582428775,61.91967108565518,52.76132273140919,1
106807.43,107138.39,106760.15,107123.91,257.50641,65.68075356406943,106637.8286818366,106641.80736492394,-3.9786830873345025,-70.91095786175806,66.93227477442356,106782.7045427217,106786.16666666667,-20.25442702305569,68.83807447902596,59.20713176264952,0
107123.91,107179.99,106467.43,106546.03,261.37721,47.654856109060326,106623.70580770788,106634.71274529996,-11.006937592072063,-58.930153807820865,47.9232162157488,106715.97013282341,106825.78666666667,-18.06103274334489,70.93407254941054,67.23060603803056,1
106546.03,106701.22,105961.39,106039.5,520.83618,37.849361265943514,106533.82799113744,106590.62291231478,-56.79492117733753,-58.5031072817242,1.7081861043866695,106484.11170517559,106569.81333333334,-20.33184064291416,44.184526639523746,61.31889122265343,1
106039.5,106039.51,105717.84,105925.0,533.14194,36.04393582222724,106440.16214634707,106541.31751140257,-101.15536505549971,-67.0335588364793,-34.121806219020414,106276.71784327395,106170.17666666665,-22.60646029511896,16.150340620389873,43.75631326977472,1
105925.01,106100.01,105623.39,105659.97,479.72433,32.21361855047927,106320.1325853706,106476.03251055792,-155.89992518733197,-84.80683210664984,-71.09309308068214,106034.50625792595,105874.82333333335,-25.782222766570744,7.642661705547664,22.659176321820436,2
105659.97,105979.33,105659.96,105972.49,171.16125,40.27363760605717,106266.6491106982,106438.73306533141,-172.08395463321358,-102.26225661196258,-69.821698021251,105977.01659298618,105852.48666666668,-25.10955453716769,12.981751749028936,12.258251358322163,1
