open,high,low,close,volume,rsi,ema12,ema26,macd,signal,histogram,dema9,sma3,tsi,%k,%d,atr,obv,adx,cci,return_1,roll_mean_5,roll_std_5,ATR,Label
107745.65,107799.39,107745.64,107798.09,47.1013,80.04983664288127,107549.08200088987,107280.43414390797,268.647856981901,236.92666480610464,31.721192175796347,107822.96466998897,107739.89,75.79235627661775,93.65471514745438,89.35638658905371,160.35830238163652,1043.9647599999998,0.0,90.00340010307644,0.0004867946396716061,107699.76199999999,70.01800497010994,,1
107798.09,107860.23,107752.45,107848.95,182.24042,81.13415514210021,107595.2155392145,107322.54642954441,272.6691096700961,244.07515377890294,28.593955891193133,107864.9660522331,107797.56,75.2719341100283,97.63700993529953,93.2932421804115,156.60270935437669,1226.20518,0.0,89.44372218325026,0.0004718079884347137,107740.956,86.83061055867502,,1
107848.95,107848.96,107780.11,107806.31,164.93995,77.33895874350995,107627.69161010458,107358.38076809669,269.31084200789337,249.12229142470105,20.188550583192324,107875.85589478,107817.78333333333,74.03513916359424,97.26271275637957,96.18481261304449,150.33465868620735,1061.26523,0.0,81.87113460624285,-0.000395367780585687,107774.98599999999,66.43974510780919,,1
107806.32,107806.32,107737.8,107746.89,67.16752,72.26596334578,107646.02982393463,107387.15922971915,258.87059421547747,251.07195198285635,7.79864223262112,107858.65235821884,107800.71666666667,71.86595733562007,92.48741739225026,95.79571336130978,144.49075449433568,994.09771,0.0,68.21432046938119,-0.0005511736743424311,107789.176,43.6733715207575,,1
107746.88,107746.89,107515.66,107538.83,145.75401,57.93573002668939,107629.5375433293,107398.39410159181,231.14344173748395,247.0862499337819,-15.942808196297932,107768.27000049094,107697.34333333334,66.11568427401268,70.89473690082025,86.88162234981671,150.6864148875971,848.3437,0.0,27.741370882133413,-0.0019310070109680444,107747.81400000001,122.3244811147487,,1
107538.83,107538.83,107338.15,107479.99,136.19046,54.63608092321747,107606.53022897095,107404.43824221463,202.0919867563207,238.08739729828966,-35.995410541968965,107680.06529152546,107588.57,60.385470234389246,48.90451972208871,70.76222467171974,154.25738525276924,712.15324,0.0,-17.42103052594461,-0.0005471512011056001,107684.19399999999,164.93757267523063,,1
107479.98,107479.99,107366.96,107417.82,100.68274,51.31083878712645,107577.49788605234,107405.42948353206,172.06840252027905,224.88359834268755,-52.8151958224085,107593.23006612653,107478.88,54.612592530888584,25.500052779829673,48.43310313424621,151.3125720204285,611.4705,0.0,-38.23068606454596,-0.0005784332506916234,107597.96800000002,169.89229270335483,,1
107417.81,107417.82,107211.0,107327.07,123.09707,46.83038583663008,107538.97051896736,107399.6250773445,139.34544162284874,207.7759669987198,-68.43052537587107,107497.96911922615,107408.29333333333,48.32543937070727,20.102155073141024,31.5022425250198,155.27738830468408,488.37343,0.0,-93.35654401710326,-0.0008448318910214692,107502.12,157.7170777056443,,1
107327.06,107344.07,107186.1,107225.25,84.20881,42.360978545692035,107490.7058237416,107386.70840494861,103.99741879299108,187.02025735757408,-83.022838564583,107393.51094844085,107323.38,41.508938805908706,12.981900115462876,19.528035989477857,155.46971771149245,404.16462,49.360178443319334,-134.238154057311,-0.0009486889002001675,107397.79200000002,124.31984202055362,,1
107225.25,107423.58,107225.25,107379.92,63.86833,50.14476078917256,107473.66185085829,107386.2055601376,87.4562907206855,167.10746403019638,-79.65117330951088,107375.60848120063,107310.74666666666,37.12646726127413,17.478906013714507,16.854320400772803,158.53116644638598,468.03295,46.20160010839438,-110.88599121977552,0.001442477401544906,107366.01000000001,96.43508930891005,,1
107379.92,107657.96,107280.0,107657.91,138.55981,60.47581750759206,107502.00771995702,107406.33181494223,95.67590501479572,152.82115222711624,-57.14524721232053,107464.39976291887,107421.02666666667,35.717100998832244,34.84886693414919,21.769891021108858,174.20465455735888,606.59276,44.47255858850311,-31.338429469249448,0.0025888452887654623,107401.594,160.53190502207138,,1
107657.91,107657.91,107480.0,107539.66,82.16323,55.23272995303624,107507.80037842518,107416.20797679835,91.59240162682545,140.5754021070581,-48.98300048023265,107486.39659270177,107525.83,32.862136847406894,50.39532434322184,34.24103243036185,174.46932208897633,524.42953,42.86702003431837,-17.245199524393325,-0.0010983865467943943,107425.96200000001,172.41803145266962,,1
107539.67,107800.0,107392.29,107755.73,167.82034,61.75704354281779,107545.94339712898,107441.35775629476,104.58564083422243,133.37744985249097,-28.791809018268538,107580.39030005477,107651.09999999999,32.27557807247479,68.9777935996179,51.407328292329645,191.12937051119275,692.24987,41.99492908050452,29.749056920058305,0.0020092122292370007,107511.69399999999,212.7964622121549,,1
107755.74,107998.0,107589.19,107768.2,198.96773,62.10033755036643,107580.1367206476,107465.56829286553,114.5684277820692,129.6156454384066,-15.04721765633741,107652.04906075848,107687.86333333333,31.91974510946937,69.54713932106044,62.973419087966725,206.67798690325026,891.2176,41.89266237925076,92.6779013892127,0.00011572470438458993,107620.28400000001,162.72335397847533,198.5250000000025,1
107768.21,108000.0,107740.0,107994.81,192.51452,67.76351029036073,107643.93260977874,107504.7713822829,139.1612274958461,131.5247618498945,7.636465645951603,107784.13630517853,107839.58,33.260161990038284,85.18563001873002,74.57018764646945,210.48670212444668,1083.73212,41.804287307553885,137.5819822009391,0.0021027538735916007,107743.26199999999,167.92296558243433,213.25714285714534,1
