open,high,low,close,volume,RSI,EMA12,EMA26,MACD,Signal,Histogram,DEMA9,SMA,TSI,%K,%D,Label
2.7934,2.7945,2.769,2.7713,297111.5,37.91565956031565,2.790583886344133,2.7907054629944064,-0.0001215766502733473,0.0009164143691228937,-0.001037991019396241,2.7883168475521583,2.785,-43.428358099511485,39.82869379014997,54.77040209374271,1
2.7712,2.7749,2.7677,2.7728,185123.1,39.05429384184472,2.787847903829651,2.789379132402228,-0.001531228572577259,0.00042688578078286317,-0.001958114353360122,2.782497751175522,2.779066666666667,-42.74328400989118,26.299811022334733,43.027845644133045,1
2.7728,2.778,2.7682,2.7709,96663.0,38.10108823364784,2.7852405340097044,2.7880103077798406,-0.002769773770136208,-0.0002124461294009511,-0.002557327640735257,2.7777016194474538,2.7716666666666665,-42.37801763477088,9.591481226436997,25.239995346307236,1
2.7708,2.7717,2.746,2.7468,475925.9,28.57438204636965,2.779326605700519,2.784957692388741,-0.005631086688222098,-0.0012961742411651805,-0.004334912447056917,2.765684030363592,2.7635,-44.1762424058561,6.491396232856587,14.12756282720944,1
2.7467,2.7473,2.7049,2.7326,1933455.3,24.661623569804746,2.7721378971312083,2.7810793448043896,-0.00894144767318128,-0.0028252289275684005,-0.006116218745612879,2.7521254121353764,2.7500999999999998,-46.66561910765477,11.280482631297497,9.121120030197027,1
2.7327,2.7449,2.7295,2.7343,337718.8,25.968598997450158,2.7663166821879455,2.7776142081522126,-0.011297525964267141,-0.004519688334908149,-0.006777837629358992,2.743278879983904,2.7379000000000002,-48.187597293965716,17.98829787527112,11.920058913141736,1
2.7343,2.7358,2.7218,2.7241,388278.5,23.351057081452396,2.7598218080051846,2.77365019273353,-0.013828384728345355,-0.00638142761359559,-0.007446957114749765,2.733585944207605,2.7303333333333337,-50.09581190628892,23.505853357979248,17.591544621515954,1
2.7242,2.7311,2.7232,2.7241,370353.4,23.351057081452396,2.754326145235156,2.769979808086602,-0.01565366285144565,-0.008235874661165602,-0.007417788190280047,2.72700302754247,2.7275000000000005,-51.579220843911955,20.887245841035266,20.793799024761878,1
2.724,2.7295,2.7145,2.7194,255122.4,22.157526750663635,2.748952892122055,2.7662331556357422,-0.017280263513687277,-0.010044752431669938,-0.007235511082017339,2.7209818397750842,2.7225333333333332,-53.07475820503533,16.53620874707006,20.309769315361525,1
2.7195,2.7268,2.716,2.7225,224479.4,24.884646141344874,2.7448832164109698,2.7629936626256875,-0.01811044621471769,-0.01165789118827949,-0.006452555026438201,2.718181006012954,2.722,-53.599233475586026,16.52925929995449,17.984237962686606,1
2.7225,2.7243,2.7053,2.7061,276102.5,20.7441688933706,2.738916567732359,2.758779317246007,-0.01986274951364786,-0.013298862853353164,-0.006563886660294695,2.7106572321646727,2.7159999999999997,-55.090537886811006,11.017106764554269,14.694191603859606,2
2.7061,2.7179,2.7052,2.7144,226654.7,27.333928092388874,2.735144788081227,2.7554919604129693,-0.020347172331742325,-0.014708524749030998,-0.005638647582711327,2.708647727615186,2.7143333333333337,-54.44980953481918,9.499832158442652,12.348732740983804,1
2.7145,2.7227,2.7088,2.7095,129458.6,25.96155650473304,2.73119943606873,2.752085148530527,-0.020885712461796935,-0.015943962291584186,-0.004941750170212748,2.705827735598907,2.7099999999999995,-54.25885432495253,5.226493056226659,8.581143993074527,1
2.7095,2.7177,2.7091,2.7169,150465.4,31.550863540707965,2.728999522827387,2.7494788412319693,-0.02047931840458217,-0.016851033514183784,-0.003628284890398386,2.706833831284532,2.7135999999999996,-52.50092427927159,9.287959032345086,8.004761415671465,0
2.717,2.7214,2.7052,2.7088,219965.7,28.972606362058954,2.725891903930866,2.746465593733305,-0.0205736898024389,-0.017595564771834805,-0.0029781250306040938,2.7049643792719507,2.7117333333333336,-51.64999817285101,7.877355211435552,7.463935766669099,1
2.7087,2.7103,2.6902,2.6946,635513.3,25.100205784084565,2.721077764864579,2.742623697901208,-0.021545933036628995,-0.018385638424793644,-0.0031602946118353507,2.6988093548130205,2.7067666666666668,-51.940609171258934,7.9131346610796305,8.359482968286756,1
2.6947,2.7033,2.6925,2.6926,189724.4,24.601459224503486,2.7166965702700283,2.738918238797415,-0.02222166852738683,-0.019152844445312282,-0.0030688240820745463,2.693981764966785,2.6986666666666665,-52.30318310690312,4.430444038818541,6.740311303777908,1
2.6926,2.7012,2.6894,2.6982,335078.3,28.863687394035495,2.7138509440746392,2.7359020729605694,-0.022051128885930193,-0.019732501333435865,-0.0023186275524943283,2.692852836866522,2.695133333333333,-51.39463491801558,7.718264368380101,6.687281022759424,1
2.6982,2.7,2.686,2.6885,245687.5,26.110376351451706,2.709950798832387,2.7323908082968233,-0.02244000946443636,-0.020274002959635967,-0.002166006504800394,2.6888522094076936,2.6931,-51.33439322100072,7.46262858555835,6.537112330918998,2
2.6884,2.7014,2.6869,2.7005,345643.9,34.441892960973874,2.7084968297812506,2.7300285262007624,-0.021531696419511803,-0.020525541651611134,-0.0010061547679006688,2.6905977194577355,2.695733333333333,-48.749786684559915,16.186522114685012,10.455805022874488,1
2.7004,2.71,2.6851,2.6931,415240.1,32.04249599322951,2.7061280867379813,2.727293079815521,-0.021164993077539496,-0.020653431936796807,-0.000511561140742689,2.689446937111452,2.6940333333333335,-47.25070267416179,16.917417461484863,13.522189387242742,1
2.693,2.7179,2.6905,2.7101,252993.0,42.03320415704578,2.7067391503167535,2.7260195183477047,-0.019280368030951234,-0.02037881915562769,0.001098451124676457,2.694976558925373,2.701233333333333,-42.65468917790725,34.27135883919564,22.45843280512184,1
