open,high,low,close,volume,RSI,EMA12,EMA26,MACD,Signal,Histogram,DEMA9,SMA,TSI,%K,%D,vol,Label
112699.75,112882.53,112690.24,112881.32,69.25242,63.75262403620451,112573.20994050289,112497.96878074149,75.24115976139728,23.969507975329016,51.27165178606827,112767.61672443329,112773.40000000001,35.65921213404041,80.40268585316204,78.77840630408483,,1
112881.32,112970.0,112881.32,112969.99,31.09509,65.90615101905615,112634.25302657936,112532.93331550137,101.31971107798745,39.43954859586071,61.88016248212674,112865.00355496658,112850.34999999999,36.60166083583022,87.79454568159802,81.80527671310686,,1
112969.99,112970.0,112684.45,112753.48,150.4262,57.00098464027916,112652.59563787484,112549.27010694573,103.32553092911257,52.21674506251108,51.108785866601494,112853.58698430921,112868.26333333335,34.68432130970855,89.51531045170879,85.90418066215629,,1
112753.48,112807.48,112653.89,112653.9,44.17746,53.42543353997541,112652.79630897101,112557.02046939419,95.77583957681782,60.92856396537243,34.84727561144538,112806.42729971612,112792.45666666667,32.019040856272674,82.23327985962318,86.51437866431,,1
112653.89,112687.72,112618.84,112651.83,35.59335,53.35051623182036,112652.6476460524,112564.04339758721,88.60424846518436,66.46370086533481,22.14054759984954,112769.3988095879,112686.40333333334,29.90163849391918,72.0457376330035,81.26477598144515,,1
112651.82,112665.95,112594.33,112643.25,59.41014,53.018648985347475,112651.20185435202,112569.91055332149,81.29130103053467,69.4292208983748,11.862080132159875,112737.90902352233,112649.65999999999,28.100388299945628,68.51615258258788,74.26505669173818,,1
112643.25,112714.39,112643.24,112690.02,25.0105,54.673808153278095,112657.1738767594,112578.80754937176,78.36632738764456,71.21664219622875,7.149685191415813,112730.80639949947,112661.7,26.940106019215932,69.67272168374956,70.07820396644698,,1
112690.03,112713.07,112592.2,112629.99,24.80185,52.13500327273751,112652.99174187335,112582.59884201089,70.39289986246149,71.0518937294753,-0.6589938670138054,112703.01846414487,112654.42,25.278410708270506,68.54180141164423,68.9102252259939,,1
112630.0,112698.15,112592.43,112648.39,30.66205,52.85759977264473,112652.28378158515,112587.47226112119,64.81152046396164,69.80381907637258,-4.992298612410934,112688.93704695212,112656.13333333335,24.03580512288338,67.491413938018,68.56864567780393,,1
112648.38,112739.14,112600.0,112650.99,54.83655,52.96565185920208,112652.08473826436,112592.17727881591,59.90745944844093,67.82454715078626,-7.917087702345327,112679.23905807067,112643.12333333334,23.015443939450847,61.0921598519703,65.70845840054417,,1
112650.99,112690.44,112498.1,112550.03,90.89544,48.33303667389958,112636.3840093006,112589.05525816287,47.32875113772752,63.725387948174514,-16.396636810446992,112635.55678286373,112616.47000000002,20.903654704831453,42.92632024103679,57.16996467700836,,1
112550.04,112833.09,112540.53,112747.72,115.7135,56.37852320504208,112653.51262325436,112600.80820200266,52.70442125169211,61.521194608878034,-8.816773357185923,112675.34745541673,112649.58,20.768517536849927,38.97550629952435,47.664662130843816,,1
112747.72,112760.92,112556.42,112577.44,97.73863,49.26275640479969,112641.80914275369,112599.07722407655,42.73191867713467,57.76333942252936,-15.03142074539469,112642.40758763398,112625.06333333334,18.546596068678685,26.848002865459023,36.249943135340054,,1
112577.45,112601.72,112385.23,112395.32,96.57338,43.010193231030236,112603.8877361762,112583.98409636717,19.903639809024753,50.19139949982844,-30.28775969080369,112553.16416874767,112573.49333333333,14.584339100740678,23.81171632258729,29.878408495856885,,1
112395.32,112422.51,112307.01,112348.73,101.30132,41.55706480726385,112564.6326998414,112566.55786700663,-1.9251671652309597,39.768086166816566,-41.693253332047526,112472.96221391052,112440.49666666666,10.911386701135434,8.277017687416981,19.645578958487764,,1
112348.73,112502.29,112313.42,112494.12,86.05237,47.516214136598464,112553.7845921735,112561.19209908022,-7.407506906718481,30.332967552109558,-37.74047445882804,112469.00407425832,112412.72333333334,9.329558906963367,12.080104702344704,14.722946237449657,,1
112494.12,112498.51,112222.0,112266.0,99.55364,40.53273735870337,112509.51003953142,112539.32601766687,-29.81597813544795,18.303178414598058,-48.11915655004601,112385.35230191058,112369.61666666665,5.583216976513314,13.905032710091879,11.420718366617855,,1
112265.99,112321.72,112138.88,112156.66,152.75856,37.67462565565204,112455.22541806505,112510.9803867286,-55.754968663546606,3.491548998969124,-59.24651766251573,112287.6786755316,112305.59333333334,1.540513201771982,12.661192840733056,12.882110084389879,,1
112156.66,112487.38,112156.66,112402.73,143.81766,46.77131357353425,112447.1491999012,112502.9618395635,-55.81263966229744,-8.36928873328419,-47.44335092901325,112308.5120076278,112275.13,0.8092627641407361,15.922888211023805,14.163037920616247,,1
112402.73,112402.74,112020.11,112020.12,179.966,37.58544160582295,112381.45239991641,112467.19577737362,-85.74337745721277,-23.84410647806991,-61.89927097914286,112187.87445986425,112193.17,-3.3397980386626815,13.523215313254928,14.035765455003931,,1
112020.12,112116.84,112010.57,112031.16,119.09589,37.964042599829384,112327.56126146772,112434.8968309015,-107.33556943378062,-40.54239906921205,-66.79317036456857,112107.930650901,112151.33666666667,-6.310668634560482,13.503914626258927,14.316672716845886,0.0013537415700243373,2
112031.17,112036.93,111674.0,111811.88,274.59458,33.60390470359039,112248.22568278038,112388.74743601991,-140.5217532395327,-60.53826990327619,-79.98348333625651,111974.7549871285,111954.38666666667,-10.376931771974128,4.800017126369997,10.609049021961285,0.0013686181219320927,2
111811.88,111811.88,111478.0,111810.11,322.1629,33.57038940608554,112180.82327004493,112345.88540372213,-165.06213367720193,-81.44304265806133,-83.6190910191406,111882.37036282897,111884.38333333335,-13.493423670701233,12.969052192092349,10.424327981573757,0.0013316077225771794,2
